"paralog_pair","GI_score_A549","GI_score_HT29","GI_score_OVCAR8","fdr_A549","fdr_HT29","fdr_OVCAR8","p_val_A549","p_val_HT29","p_val_OVCAR8"
"LMBR1_LMBR1L",0.264987260792582,-0.0616729986408817,0.209892333149383,0.0964623381318795,0.544369796162669,0.0177601777471489,0.0449998004188421,0.497092022302388,0.0061697887955356
"LMNB1_LMNB2",0.258403222334397,-0.0749193429841588,-0.293845978497893,0.206972768669915,0.571782784267746,0.0342277038545572,0.123259217073895,0.530637124853938,0.0142686209617013
"LPIN1_LPIN2",-0.330618218850869,-0.579174463464868,0.0427723641537423,0.0230706679120313,0.000239411778278839,0.79829753359381,0.00761389288411951,6.46468421927185e-05,0.717081159208335
"LRBA_NBEA",0.0610438498048789,-0.239101958777668,-0.0439361094827684,0.701086435834675,0.0238871356996679,0.792974351556859,0.618592575068179,0.0135735833132108,0.702461150138458
"LSM14A_LSM14B",0.106402181535101,-0.229697385264252,0.16680808462299,0.545414927377806,0.183428276398705,0.208205610190135,0.445264295551609,0.142919302206435,0.123476776266606
"MAFG_MAFK",-0.727785685203056,-1.02145207926471,-1.11896140194425,0.489649829891671,0.169029192251249,0.323210244166397,0.385158799195185,0.130441882853941,0.222156917206184
"MAP2K1_MAP2K2",0.131204577436819,-0.434515919123059,-0.855898207274814,0.654917720295995,0.0938020054288347,0.00727865196956229,0.56052671056833,0.0649398499122702,0.00198672882543884
"MAP3K10_MAP3K11",-0.162692750135934,-0.0567208260054781,0.126212492631326,0.378875079781073,0.768310529357473,0.413143221886138,0.278280455620838,0.741619840992697,0.299349431242562
"MAP3K10_MAP3K9",-0.31088396742995,-0.395708115223685,-0.299262048781184,0.0147622072517668,0.000680414631910809,0.00283986523308239,0.00450558682870303,0.000229618833597692,0.000648306703333944
"MAP3K2_MAP3K3",-0.0531577153413653,-0.317320744700248,0.0698100125017229,0.684635471431161,0.000432418703171959,0.443324039404787,0.596295410601334,0.000129578827588477,0.327817776036294
"MAPK11_MAPK12",-0.261873518995485,-0.248161677343383,0.153774346067025,0.160011485661112,0.0839534479329311,0.316173893123161,0.0877482340722227,0.0570800117459631,0.211869702849435
"MAPK1_MAPK3",-1.58634622114035,-2.39834863178624,-1.79743423767154,0.000175906352183272,2.08789547131758e-07,1.11695602312458e-05,1.98005742859568e-05,1.03617641256455e-08,8.31480910514578e-07
"MAPK8IP3_SPAG9",-0.653395026497795,-0.558456927118597,-0.0937914163845638,0.0924843072552608,0.00617737172169578,0.572341598875817,0.0421612895225299,0.0029124085040253,0.453044590673413
"MAPKAPK2_MAPKAPK3",-0.400898054375213,-0.326613085407449,0.0491101478290123,0.0460382622371714,0.000231975323417364,0.587200572403748,0.0172908231478321,6.15914630413348e-05,0.466263481809428
"MARK3_MARK4",-0.342593075967003,-0.679541658120391,-0.281237605031021,0.0679839692605497,0.00018366922360844,0.0202568702264186,0.0281720170384908,4.73985093183071e-05,0.00733871725324346
"MBD2_MBD3",-0.393844296505203,-0.578845855546146,-0.158171458072292,0.195217000113975,0.0364860464206357,0.258134731276861,0.112867397088229,0.0221813433574584,0.162695339315937
"ME2_ME3",0.112584465047653,-0.213060820113919,0.129696830353377,0.286978809821319,0.0241399193339776,0.0763336941961757,0.197253425112917,0.0138969262667067,0.0357991766825737
"MED13_MED13L",-0.487179597165897,-0.681119334627104,-0.193042383309755,0.00114874830729967,0.00047367993288691,0.118350997878812,0.000171029524660001,0.000143396902759809,0.0619654108000729
"MEF2A_MEF2D",-0.290327006333575,0.127925095887275,0.159659999252338,0.0458048754809178,0.412145622114564,0.29403447232041,0.0170489610971158,0.352829378733312,0.193531029263643
"METTL2A_METTL2B",0.135326903388487,-0.523152144372022,-0.0565406552154094,0.463859258241038,0.000563799939322313,0.622077091379368,0.356933685976529,0.000180282483731957,0.501675073693039
"MEX3B_MEX3C",-0.107080105492668,-0.306461190478677,-0.0679705361105293,0.463753980950125,0.00469090281761645,0.542333544063963,0.355583077204934,0.0021417521549415,0.422562612496488
"MEX3B_MEX3D",-0.159536082017254,-0.44715442652034,-0.352338576523821,0.226412157906388,0.000432418703171959,0.0377519115446773,0.139330558711624,0.000129832910877933,0.0160188011765256
