,HAP1.T12,HAP1.T18
MTX1_MTX3,0.2552734834121555,-0.18422828798716787
MYB_MYBL1,0.28076683300849464,0.8108989010493014
MYC_MYCN,-2.0213389224947997,-2.020958662587448
NAA15_NAA16,0.32421022726769605,-0.3426502467902331
NAB1_NAB2,0.7515598533540087,0.506236349588201
NAV1_NAV3,0.2312291744758718,1.0189446120542769
NBEAL1_NBEAL2,-0.6493946911338634,-0.39520433585667536
NCOA1_NCOA3,-0.022476273232367342,-0.4718429489951945
NCOR1_NCOR2,1.4768027425853179,1.7651782512502583
NDE1_NDEL1,-1.1575067785772666,-0.8521311649126192
NDFIP1_NDFIP2,-1.687676685138292,-0.9454436168795682
NEDD4_NEDD4L,-0.5567843609243862,0.4021346931016142
NEK6_NEK7,1.371851437635919,0.6379804637045003
NFKBID_NFKBIZ,1.807611889064975,1.720073554304722
NID1_NID2,1.8782696665151228,1.6205033879549615
NIPAL1_NIPAL4,0.20224615161742593,-0.2648974091981081
NKTR_PPIG,-1.1330244075990603,-0.5105237441174989
NKX2-1_NKX2-4,2.7775985076261884,2.5666820479835133
NLGN1_NLGN4X,0.34759264635177484,0.3449362563108468
NLN_THOP1,0.14620208153591338,0.10678283374801353
NOTCH1_NOTCH2,0.7652269855829457,1.0474090132306233
NOVA1_NOVA2,-0.35617830029475306,-0.45154354548670605
NPR1_NPR2,0.6108068541790619,0.6138527516176094
NR2C1_NR2C2,0.25347998908094693,0.03004449279975962
NRBP1_NRBP2,-0.09305646057846229,-0.0515913085119422
NT5C2_NT5DC4,1.3258927395530533,1.1860602999612182
NUCB1_NUCB2,-1.4919624566899692,-2.2411165576402867
NUMB_NUMBL,-0.8104132897469182,-0.11110676540534324
OGDH_OGDHL,0.6408964833447177,0.41051135103975567
ORMDL1_ORMDL3,0.7587336204328818,0.7084621536064725
OSBP_OSBP2,1.1030334003007272,1.0249420029620557
OSBPL5_OSBPL8,-0.18750986537749217,-0.6581825408242417
OSR1_OSR2,-0.8048573371990765,-0.2932098389356716
OTUB1_OTUB2,-0.7153641610563416,-1.175087491605188
OTX1_OTX2,-0.0457162813705218,-0.13778396345551217
P4HA1_P4HA2,0.8558701944560287,0.44514338053688884
PACS1_PACS2,0.6312851138391903,0.10757086462578956
PAFAH1B2_PAFAH1B3,-1.2555401645394073,-0.8416026804316425
PAK2_PAK3,-0.370872702544785,-0.655595458069929
PAK4_PAK6,0.5033858193106485,0.33761728373120037
PAPD5_PAPD7,-0.41013074010052003,0.13363391591912954
PAPSS1_PAPSS2,-2.2181025362609432,-3.2205793221412873
PARP6_PARP8,-1.1706918548288119,-1.2204958485096344
PARVA_PARVB,-0.5198303486573576,0.19153141132764234
PDE8A_PDE8B,-0.870185704572337,-1.6025927434894722
PDP1_PDP2,-2.73500273772129,-2.5868210959956763
PDS5A_PDS5B,-2.577336101765505,-1.2557893855531481
PEX5_PEX5L,-1.2740032249587219,-0.39731229029858817
PGM2_PGM2L1,0.9389855898220797,0.8035759415125853
PGRMC1_PGRMC2,1.7960560283029476,2.745641072841483
PHACTR2_PHACTR4,0.9828504819283623,1.0135348282024483
PHF20_PHF20L1,0.653617143054976,0.5428623321619364
PHKA1_PHKA2,0.7197175758750081,-0.02077696183647507
PHLDB1_PHLDB3,-0.4611128415007239,-0.4003765898934033
PI4K2A_PI4K2B,-0.5565132149332662,0.6487186836356783
PIEZO1_PIEZO2,-0.09038503759163376,-0.14343524419609427
PIK3CB_PIK3CD,0.5379595024504658,-0.45113039904545754
PIP4K2A_PIP4K2B,-0.8133774299928179,-1.5896371530128555
PITPNA_PITPNB,-4.463988676106231,-4.058695055919255
PKN2_PKN3,-0.18014566424092426,0.9596035169169658
PLCB1_PLCB3,-0.33151075693708926,-0.5756474998055718
PLCD3_PLCD4,2.0660816240574977,1.8605459203701442
PLCG1_PLCG2,0.4765745061664007,-0.5204832867157919
PLCL1_PLCL2,0.6002249518115613,0.008206804572754673
PLEKHB1_PLEKHB2,0.1087231054104438,0.25751481003557275
PLEKHH1_PLEKHH2,0.10752157711074099,0.4476590879015985
PLK2_PLK3,0.6272514905908778,-0.08800295508745924
PLOD1_PLOD2,-1.4264119241441697,-1.8340513452384635
PMM1_PMM2,0.16350683199070096,1.0068380782274062
POC1A_POC1B,-0.49679374790388037,0.7322794884756989
POGZ_ZNF280D,0.22281092682668097,0.06430103446392009
PPA1_PPA2,1.1368975272856305,1.5113558444202435
PPARGC1A_PPRC1,1.8681972094850356,0.8111753340327785
PPFIA1_PPFIA3,-0.9019295885426313,-1.2700796241757877
PPIB_PPIC,-1.6792442181413605,-1.387749671338654
PPM1E_PPM1F,1.3160564305448326,1.8043481615869037
PPP1CA_PPP1CC,0.9395175406858095,0.046925286784280554
PPP1R3B_PPP1R3C,1.6475716082524052,0.8880544219465257
PPP1R3D_PPP1R3E,0.05202100197776462,-1.0456331391444835
PPP1R14A_PPP1R14B,-1.2482304480776407,-0.8353134982238706
PPP1R16A_PPP1R16B,1.0574893773036755,1.291544195530248
PPP2CA_PPP2CB,-0.11191677996093354,-0.3261513772030981
PPP2R5C_PPP2R5D,-1.7815611300424121,-1.1127169967152093
PPP3CA_PPP3CB,0.7830489232061999,0.7178747356658159
PPP6R2_PPP6R3,0.5191058182841671,0.9432878708549394
PREX1_PREX2,1.2598576477004628,0.8799809308944213
PRKAR1A_PRKAR1B,1.0294497731056897,-0.017766442759344418
PRKAR2A_PRKAR2B,2.373210769647037,1.994445295769704
PRKCA_PRKCB,0.40061201820408604,-0.40908952765383966
PRKCD_PRKCQ,-0.31614629014884454,0.2997753003371249
PRKCE_PRKCH,0.28787553228406415,0.6625656520029858
PRKCI_PRKCZ,0.6244706528040773,0.824247445280656
PRPF40A_PRPF40B,0.950797811182709,1.2540945916574515
PRPSAP1_PRPSAP2,-1.1438271182562927,-0.6205785520024352
PRRX1_PRRX2,-0.5368059202848815,0.834748573307021
PSEN1_PSEN2,-1.5065766787874293,-0.9978462904384765
PSMA7_PSMA8,0.06132515666845016,-0.5475366134094397
PTBP1_PTBP2,-2.455135267342822,-3.16546001309866
PTBP1_PTBP3,-0.37553733290629093,-1.163239954989139
PTBP2_PTBP3,-0.2395509371573726,0.033375962247541545
PTCH1_PTCH2,0.3998719835717339,0.4177745302425222
