,A375_D14,RPE_D14,MEWO_D14,A375_D28,RPE_D28,MEWO_D28
POLR2A_POLR3A,-3.7524079093766676,-1.8362466958115908,0.10755930237757648,-2.4638835634481864,-0.9287031196530513,-0.023979881044067876
POMT1_POMT2,-0.33152334002156764,0.0458349305973429,1.4961345839492586,-0.24855866146229896,0.5965030347516497,0.6051571437219216
CCDC88A_POP7,0.858547749364149,1.8292648926498005,1.8757380189752881,-0.1276075736405449,0.7440804364780966,0.38331229949032525
DDX21_POP7,-0.5631165223595165,-0.6197966864810782,-3.3046364640511356,2.435004685578855,1.1193711828919506,-1.995300152481492
EAF1_POP7,-1.721544031394481,-0.7032876646201816,-0.6099605850183404,-0.42973430608787133,1.578554049735195,-0.0723392747246351
ELOVL5_POP7,-0.7391223929879768,1.5476576664379245,0.4356898805423149,-0.6763474096290468,1.4197769866309282,1.5384529164957519
FAM111A_POP7,0.12268770895972304,2.915474683567139,0.24892389297261425,-0.7087858476195713,2.1266618263175663,-0.24178040876154305
KIAA1586_POP7,-0.06926058349448683,2.2291873739772323,-1.9585059803259675,-0.987970650061024,0.7618593882759931,-0.8924744942698346
KLHL5_POP7,-0.8205118083111931,0.9936451494516921,1.0083485138433925,-2.118971775017546,0.14582381142857892,1.2317265320730348
POP7_PRKDC,-1.1763873866939702,-0.8938309873555804,-1.7966387449014147,1.3876791739440755,0.6447659181690711,-2.803943228808468
POU6F1_POU6F2,0.4510575536487202,0.7584336236493884,1.397231664523443,0.5355353479988726,0.5611500288783182,0.7050361401695688
PPA1_PPA2,-1.526312841522178,-0.6243406084766594,-0.7322177789697966,-3.3441285303868256,-3.3932194567846303,-1.0003367000771062
PPAN_PPAN-P2RY11,-1.278439819827129,-0.1883418534601308,0.597914248357275,0.5205136283147375,-1.1243213693382703,-1.7459831209705532
PPIB_SPTA1,0.9355442181936011,0.33890320070820656,0.7771137593703374,0.8535989592090333,0.04504498955023299,0.7748003300797593
CWC27_PPIL4,0.7927699552091756,-0.020183153194297056,0.5973537791438602,-1.3231764104519559,-0.24477042822527156,0.215459510144862
PPM1E_PPM1F,0.8085911969785131,2.3796513338808176,0.803465956798652,0.8402853619772509,2.405518298564043,1.015791675273413
PPP1R8_SLC4A1AP,1.0319429527195272,1.4036802255030683,1.566684359240647,1.9114907034007091,2.0577692294658196,1.9378425906153707
PPP2R1A_PPP2R1B,-3.4045652346848745,-0.38718853888851634,0.457000947765545,-2.8697147090464488,-1.1051527262235679,1.8589921465645782
PPP4R3A_PPP4R3B,-0.567650762701229,0.5002975135512319,-0.7754060969925273,-0.9524321434357952,0.5664329299876645,0.5334706982648445
PPIL2_PPWD1,-4.127047049415282,-2.5593084835546307,-5.882443325907148,-0.7028322593639236,-1.6236467132628667,-5.1015723466938026
CSMD3_PRC1,0.6171508807740327,1.374868105566809,0.5680817605729275,0.4624255360879863,-0.09010235585197938,1.1763280901016127
DBNDD2_PRC1,0.6023609072547942,-0.7437947516025449,1.2102633899932946,0.683266712344127,-1.0203207059083177,0.9603725645675114
MECOM_PRDM16,1.3563445638710314,0.2717233692298749,0.2395032723481895,1.2196256905500478,0.12938117277248376,-0.6125309556736126
ASPM_PRICKLE4,0.14444380409838423,0.564954174465719,-1.0086775097260485,0.04398120336909127,-0.6041610437627073,-0.9944377039368589
PRKAA1_TP53,1.5404786376601902,5.281226180691221,-0.4211890346526215,1.2636466796418642,4.690318638703584,-0.05455067181655652
PRKAB1_PRKAB2,0.12903895009112565,0.8863768901675426,-0.12594900971986042,-0.012500439697733677,0.14992887257489126,0.32306292501135814
NCAPH_PRKCZ,-0.8124919029798682,-1.5137205424597264,-0.96056708245256,-0.617643726352216,-1.6214926094348976,-0.10282259319285135
KIF15_PRNP,-0.3676991150693597,-0.8254665319509266,0.21689404673003007,-0.07075432470123938,-1.0356081274062623,0.09864213518637574
PROX1_PROX2,0.6046696987274044,0.07150745726396804,1.1470602543611912,0.7426060943874528,-0.17593027282352833,0.7814026006707191
PRPF18_RP11-295P9.13,2.723747180168078,2.354814749979655,0.776589880774118,0.38775077145629605,-0.6351333681461068,1.893004460317924
PRPF40A_PRPF40B,-0.12346850060219201,1.2226080183518364,1.2762292304178942,0.861862156824453,2.6876363003596797,1.128980034035993
PPP1R10_PRR3,-0.011385797170605352,-0.3182543248243097,1.0663157052566146,-0.42098336070152637,-1.4525328240499928,0.33030820456681986
PSEN1_PSEN2,0.43273780126175215,0.8693145767564329,1.1245963030561337,-0.28015128716288346,0.04794911753836643,0.5517195770093544
AC002398.9_PSENEN,-0.2981028461164483,-0.9165973131559135,-0.43024482171323447,-1.5684050970128594,-2.7489574025970165,-0.5317723508789518
CTB-50L17.10_PSIP1,0.027093051813467293,-0.24504002272728362,1.5975084815450773,0.9891135091326639,0.04278661367975526,1.93237475449088
